image_path,dataset,chi2_score,semantic_score,decision
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000020_leftImg8bit.png,lostandfound,4.5421,-1204.5179,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000030_leftImg8bit.png,lostandfound,10.6232,-1228.7924,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000040_leftImg8bit.png,lostandfound,4.5272,-1199.394,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000050_leftImg8bit.png,lostandfound,11.3215,-1279.29,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000060_leftImg8bit.png,lostandfound,13.4094,-1158.0184,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000070_leftImg8bit.png,lostandfound,12.7643,-1054.0945,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000080_leftImg8bit.png,lostandfound,20.3277,-1150.927,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000090_leftImg8bit.png,lostandfound,20.6691,-1038.1263,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000100_leftImg8bit.png,lostandfound,11.819,-1376.6222,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000110_leftImg8bit.png,lostandfound,20.2336,-1865.605,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000120_leftImg8bit.png,lostandfound,12.9985,-1365.8433,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000130_leftImg8bit.png,lostandfound,16.0585,-1582.2013,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000140_leftImg8bit.png,lostandfound,14.6655,-1384.2755,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000150_leftImg8bit.png,lostandfound,15.8491,-1277.9418,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000160_leftImg8bit.png,lostandfound,11.1064,-1721.6587,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000170_leftImg8bit.png,lostandfound,31.5258,-1255.1852,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000180_leftImg8bit.png,lostandfound,14.966,-1082.7751,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000190_leftImg8bit.png,lostandfound,14.8024,-1240.2727,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000020_leftImg8bit.png,lostandfound,8.2124,-1180.4637,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000030_leftImg8bit.png,lostandfound,7.9303,-1183.1548,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000040_leftImg8bit.png,lostandfound,5.9024,-1024.4595,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000050_leftImg8bit.png,lostandfound,11.1895,-1082.2488,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000060_leftImg8bit.png,lostandfound,9.7491,-884.4778,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000070_leftImg8bit.png,lostandfound,21.5917,-1081.2917,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000080_leftImg8bit.png,lostandfound,10.2872,-1127.9015,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000090_leftImg8bit.png,lostandfound,31.284,-1364.134,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000100_leftImg8bit.png,lostandfound,13.6311,-1410.6001,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000110_leftImg8bit.png,lostandfound,10.4168,-1583.2217,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000120_leftImg8bit.png,lostandfound,5.4511,-1456.636,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000130_leftImg8bit.png,lostandfound,7.1602,-1630.6442,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000140_leftImg8bit.png,lostandfound,4.6055,-2302.2053,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000150_leftImg8bit.png,lostandfound,13.7439,-1739.488,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000160_leftImg8bit.png,lostandfound,22.6497,-2118.6694,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000170_leftImg8bit.png,lostandfound,21.0287,-2264.4636,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000180_leftImg8bit.png,lostandfound,8.19,-1976.8601,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000190_leftImg8bit.png,lostandfound,19.0193,-1834.0215,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000200_leftImg8bit.png,lostandfound,25.2171,-1711.2924,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000210_leftImg8bit.png,lostandfound,17.3392,-1721.131,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000020_leftImg8bit.png,lostandfound,11.4202,-1405.5168,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000030_leftImg8bit.png,lostandfound,16.6947,-1366.9154,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000040_leftImg8bit.png,lostandfound,14.6599,-1419.1298,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000050_leftImg8bit.png,lostandfound,9.2151,-1130.5884,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000060_leftImg8bit.png,lostandfound,9.4248,-1320.2678,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000070_leftImg8bit.png,lostandfound,8.3379,-1233.3932,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000080_leftImg8bit.png,lostandfound,7.7874,-1260.8792,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000090_leftImg8bit.png,lostandfound,9.2571,-1586.6976,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000100_leftImg8bit.png,lostandfound,12.5698,-1671.8628,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000110_leftImg8bit.png,lostandfound,24.3637,-1535.2139,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000120_leftImg8bit.png,lostandfound,18.3579,-1655.4374,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000130_leftImg8bit.png,lostandfound,11.4357,-1900.6163,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000140_leftImg8bit.png,lostandfound,31.4493,-1927.7499,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000150_leftImg8bit.png,lostandfound,15.8715,-1509.4388,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000160_leftImg8bit.png,lostandfound,27.806,-1717.4164,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000170_leftImg8bit.png,lostandfound,13.343,-1405.8654,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000180_leftImg8bit.png,lostandfound,18.7575,-1203.1494,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000190_leftImg8bit.png,lostandfound,20.0797,-1544.5453,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000020_leftImg8bit.png,lostandfound,9.3782,-1270.4152,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000030_leftImg8bit.png,lostandfound,16.6157,-1227.3727,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000040_leftImg8bit.png,lostandfound,6.9412,-1220.8707,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000050_leftImg8bit.png,lostandfound,9.5249,-1360.5973,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000060_leftImg8bit.png,lostandfound,12.3403,-1564.0864,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000070_leftImg8bit.png,lostandfound,28.3736,-1538.9681,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000080_leftImg8bit.png,lostandfound,14.5741,-1503.7687,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000090_leftImg8bit.png,lostandfound,19.2865,-1442.6687,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000100_leftImg8bit.png,lostandfound,7.4335,-2049.8149,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000110_leftImg8bit.png,lostandfound,15.3219,-1526.4501,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000120_leftImg8bit.png,lostandfound,9.6058,-1669.7294,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000130_leftImg8bit.png,lostandfound,15.7368,-2063.8594,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000140_leftImg8bit.png,lostandfound,25.4097,-1634.4615,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000150_leftImg8bit.png,lostandfound,42.221,-1770.373,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000160_leftImg8bit.png,lostandfound,4.4483,-1754.9353,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000170_leftImg8bit.png,lostandfound,12.1861,-1875.0203,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000180_leftImg8bit.png,lostandfound,7.2913,-1435.9669,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000020_leftImg8bit.png,lostandfound,11.5666,-1315.4391,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000030_leftImg8bit.png,lostandfound,16.8265,-1494.5221,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000040_leftImg8bit.png,lostandfound,17.5595,-1256.5079,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000050_leftImg8bit.png,lostandfound,20.4114,-1261.5774,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000060_leftImg8bit.png,lostandfound,8.1498,-1447.5287,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000070_leftImg8bit.png,lostandfound,18.5112,-1119.699,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000080_leftImg8bit.png,lostandfound,18.9482,-1212.8308,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000090_leftImg8bit.png,lostandfound,15.4945,-1357.8517,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000100_leftImg8bit.png,lostandfound,23.6379,-1427.9435,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000110_leftImg8bit.png,lostandfound,8.5606,-1807.8468,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000120_leftImg8bit.png,lostandfound,13.2604,-1713.4666,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000130_leftImg8bit.png,lostandfound,14.087,-2210.7935,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000140_leftImg8bit.png,lostandfound,17.2934,-1882.4891,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000150_leftImg8bit.png,lostandfound,8.1351,-1773.6067,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000160_leftImg8bit.png,lostandfound,10.687,-1936.2965,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000170_leftImg8bit.png,lostandfound,22.9767,-1609.6783,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000180_leftImg8bit.png,lostandfound,35.2638,-1647.8369,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000190_leftImg8bit.png,lostandfound,13.7032,-1810.9526,stage2
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000200_leftImg8bit.png,lostandfound,15.1228,-1250.3783,pass
