image_path,dataset,chi2_score,semantic_score,decision
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000020_leftImg8bit.png,lostandfound,4.5421,-1204.5179,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000030_leftImg8bit.png,lostandfound,10.6232,-1228.7924,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000040_leftImg8bit.png,lostandfound,4.5272,-1199.394,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000050_leftImg8bit.png,lostandfound,11.3215,-1279.29,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000060_leftImg8bit.png,lostandfound,13.4094,-1158.0184,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000070_leftImg8bit.png,lostandfound,12.7643,-1054.0945,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000080_leftImg8bit.png,lostandfound,20.3277,-1150.927,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000090_leftImg8bit.png,lostandfound,20.6691,-1038.1263,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000100_leftImg8bit.png,lostandfound,11.819,-1376.6222,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000120_leftImg8bit.png,lostandfound,12.9985,-1365.8433,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000140_leftImg8bit.png,lostandfound,14.6655,-1384.2755,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000150_leftImg8bit.png,lostandfound,15.8491,-1277.9418,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000170_leftImg8bit.png,lostandfound,31.5258,-1255.1852,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000180_leftImg8bit.png,lostandfound,14.966,-1082.7751,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000000_000190_leftImg8bit.png,lostandfound,14.8024,-1240.2727,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000020_leftImg8bit.png,lostandfound,8.2124,-1180.4637,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000030_leftImg8bit.png,lostandfound,7.9303,-1183.1548,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000040_leftImg8bit.png,lostandfound,5.9024,-1024.4595,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000050_leftImg8bit.png,lostandfound,11.1895,-1082.2488,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000060_leftImg8bit.png,lostandfound,9.7491,-884.4778,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000070_leftImg8bit.png,lostandfound,21.5917,-1081.2917,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000080_leftImg8bit.png,lostandfound,10.2872,-1127.9015,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000090_leftImg8bit.png,lostandfound,31.284,-1364.134,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000001_000100_leftImg8bit.png,lostandfound,13.6311,-1410.6001,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000020_leftImg8bit.png,lostandfound,11.4202,-1405.5168,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000030_leftImg8bit.png,lostandfound,16.6947,-1366.9154,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000040_leftImg8bit.png,lostandfound,14.6599,-1419.1298,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000050_leftImg8bit.png,lostandfound,9.2151,-1130.5884,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000060_leftImg8bit.png,lostandfound,9.4248,-1320.2678,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000070_leftImg8bit.png,lostandfound,8.3379,-1233.3932,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000080_leftImg8bit.png,lostandfound,7.7874,-1260.8792,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000170_leftImg8bit.png,lostandfound,13.343,-1405.8654,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000002_000180_leftImg8bit.png,lostandfound,18.7575,-1203.1494,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000020_leftImg8bit.png,lostandfound,9.3782,-1270.4152,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000030_leftImg8bit.png,lostandfound,16.6157,-1227.3727,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000040_leftImg8bit.png,lostandfound,6.9412,-1220.8707,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000003_000050_leftImg8bit.png,lostandfound,9.5249,-1360.5973,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000020_leftImg8bit.png,lostandfound,11.5666,-1315.4391,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000040_leftImg8bit.png,lostandfound,17.5595,-1256.5079,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000050_leftImg8bit.png,lostandfound,20.4114,-1261.5774,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000070_leftImg8bit.png,lostandfound,18.5112,-1119.699,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000080_leftImg8bit.png,lostandfound,18.9482,-1212.8308,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000090_leftImg8bit.png,lostandfound,15.4945,-1357.8517,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000100_leftImg8bit.png,lostandfound,23.6379,-1427.9435,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000004_000200_leftImg8bit.png,lostandfound,15.1228,-1250.3783,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000020_leftImg8bit.png,lostandfound,22.9465,-1204.5522,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000030_leftImg8bit.png,lostandfound,11.8334,-1187.6844,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000040_leftImg8bit.png,lostandfound,5.8378,-1288.0859,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000050_leftImg8bit.png,lostandfound,2.8976,-1280.0807,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000060_leftImg8bit.png,lostandfound,6.5335,-1343.1337,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000070_leftImg8bit.png,lostandfound,11.2897,-1154.7079,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000080_leftImg8bit.png,lostandfound,12.1043,-1213.2639,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000005_000090_leftImg8bit.png,lostandfound,17.5478,-1226.2484,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000100_leftImg8bit.png,lostandfound,13.3252,-1334.2648,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000120_leftImg8bit.png,lostandfound,20.8909,-1351.2682,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000140_leftImg8bit.png,lostandfound,13.7858,-1150.0154,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000150_leftImg8bit.png,lostandfound,4.5659,-1282.212,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000160_leftImg8bit.png,lostandfound,18.4105,-1208.3485,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000170_leftImg8bit.png,lostandfound,7.8675,-1354.8298,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000006_000180_leftImg8bit.png,lostandfound,17.7785,-1300.0748,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000120_leftImg8bit.png,lostandfound,27.0334,-1424.5565,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000130_leftImg8bit.png,lostandfound,13.6949,-1286.0544,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000140_leftImg8bit.png,lostandfound,26.3005,-1382.5166,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000150_leftImg8bit.png,lostandfound,14.0757,-1368.4425,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000160_leftImg8bit.png,lostandfound,24.7049,-1114.3884,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000170_leftImg8bit.png,lostandfound,21.3991,-1259.3503,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000180_leftImg8bit.png,lostandfound,7.8571,-1367.8993,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000190_leftImg8bit.png,lostandfound,24.5043,-1297.4637,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000007_000200_leftImg8bit.png,lostandfound,9.0846,-1363.4818,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000080_leftImg8bit.png,lostandfound,25.7911,-1413.3444,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000090_leftImg8bit.png,lostandfound,28.5905,-1266.3535,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000110_leftImg8bit.png,lostandfound,18.4401,-1331.1608,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000120_leftImg8bit.png,lostandfound,15.791,-1254.2959,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000130_leftImg8bit.png,lostandfound,20.3634,-1235.7539,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000140_leftImg8bit.png,lostandfound,17.2216,-1299.7443,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000150_leftImg8bit.png,lostandfound,14.8741,-1303.1088,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000160_leftImg8bit.png,lostandfound,8.5293,-1280.1897,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000170_leftImg8bit.png,lostandfound,3.5404,-1370.6543,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000180_leftImg8bit.png,lostandfound,8.5418,-1368.7286,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000008_000200_leftImg8bit.png,lostandfound,18.3815,-1273.2891,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000110_leftImg8bit.png,lostandfound,18.5552,-1310.0597,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000120_leftImg8bit.png,lostandfound,19.6061,-1276.812,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000140_leftImg8bit.png,lostandfound,22.6543,-1224.0332,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000150_leftImg8bit.png,lostandfound,8.4692,-1128.6812,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000160_leftImg8bit.png,lostandfound,8.6525,-1208.4189,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000170_leftImg8bit.png,lostandfound,12.4546,-1289.6801,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000180_leftImg8bit.png,lostandfound,4.9362,-1360.9875,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000200_leftImg8bit.png,lostandfound,8.3753,-1270.1934,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000210_leftImg8bit.png,lostandfound,7.0181,-1378.6821,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000220_leftImg8bit.png,lostandfound,9.478,-1270.4614,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000009_000230_leftImg8bit.png,lostandfound,6.5044,-1401.8702,pass
test/02_Hanns_Klemm_Str_44/02_Hanns_Klemm_Str_44_000010_000100_leftImg8bit.png,lostandfound,3.9932,-1360.3737,pass
