image_path,dataset,chi2_score,semantic_score,decision
test/driveway_bin_4.webp,smiyc,252.6909,-5283.8945,stage1
test/driveway_carton_bowl_1.webp,smiyc,271.7299,-7254.8198,stage1
test/driveway_carton_bowl_2.webp,smiyc,316.4299,-7544.4946,stage1
test/driveway_carton_bowl_3.webp,smiyc,147.8936,-6540.3628,stage1
test/driveway_dog_bin_1.webp,smiyc,252.7851,-7598.4351,stage1
test/driveway_dog_bin_2.webp,smiyc,254.9799,-4125.2227,stage1
test/driveway_dog_bin_3.webp,smiyc,193.2974,-2390.051,stage1
test/driveway_dog_bin_4.webp,smiyc,163.2102,-3363.3479,stage1
test/driveway_dog_sleigh_1.webp,smiyc,205.6309,-8598.1279,stage1
test/driveway_dog_sleigh_2.webp,smiyc,232.3641,-3071.3127,stage1
test/driveway_dog_sleigh_3.webp,smiyc,419.6654,-4704.8994,stage1
test/driveway_flowerpots_3_1.webp,smiyc,499.4662,-4435.3208,stage1
test/driveway_flowerpots_3_2.webp,smiyc,463.6691,-3260.5496,stage1
test/driveway_pig_vase_1.webp,smiyc,409.687,-4585.2573,stage1
test/driveway_pig_vase_2.webp,smiyc,314.2591,-5144.0088,stage1
test/driveway_shovel_2_1.webp,smiyc,366.7217,-5031.9399,stage1
test/driveway_shovel_2_2.webp,smiyc,249.6942,-4439.458,stage1
test/gravel_axestump_2.webp,smiyc,119.75,-7553.2764,stage1
test/gravel_axestump_3.webp,smiyc,60.4982,-5235.501,stage2
test/gravel_bag_3.webp,smiyc,52.7166,-5332.6162,stage2
test/gravel_bagP_4.webp,smiyc,19.7427,-4647.6987,stage2
test/gravel_basket_2.webp,smiyc,69.8425,-6674.0854,stage2
test/gravel_basket_3.webp,smiyc,113.6838,-7489.0591,stage1
test/gravel_boot_1.webp,smiyc,59.2448,-5113.6221,stage2
test/gravel_boot_2.webp,smiyc,116.085,-5961.4424,stage1
test/gravel_boot_5.webp,smiyc,16.0265,-5290.3677,stage2
test/gravel_bottle_2.webp,smiyc,89.4682,-9033.8916,stage1
test/gravel_bottle_3.webp,smiyc,66.0681,-4274.9473,stage2
test/gravel_bottle_4.webp,smiyc,58.5272,-5201.0938,stage2
test/gravel_bottles_5.webp,smiyc,8.9024,-5467.0396,stage2
test/gravel_boxG_2.webp,smiyc,68.282,-4850.1519,stage2
test/gravel_boxG_4.webp,smiyc,50.0254,-4209.9189,stage2
test/gravel_bucket_3.webp,smiyc,121.7536,-4194.0767,stage1
test/gravel_canister_1.webp,smiyc,130.2359,-6547.4985,stage1
test/gravel_canister_3.webp,smiyc,101.9175,-6336.8979,stage1
test/gravel_canister_4.webp,smiyc,76.2197,-4273.0264,stage1
test/gravel_canister_7.webp,smiyc,16.5342,-4726.021,stage2
test/gravel_cans2_2.webp,smiyc,121.59,-10251.7451,stage1
test/gravel_cans2_5.webp,smiyc,33.4049,-3960.3257,stage2
test/gravel_cans3_3.webp,smiyc,24.0017,-4139.501,stage2
test/gravel_helmetG_2.webp,smiyc,82.3576,-11101.7734,stage1
test/gravel_log_2.webp,smiyc,126.7697,-8721.6621,stage1
test/gravel_log_3.webp,smiyc,102.1569,-6848.5439,stage1
test/gravel_log_8.webp,smiyc,25.0484,-6825.9399,stage2
test/gravel_stump_1.webp,smiyc,122.032,-10319.6689,stage1
test/gravel_stump_2.webp,smiyc,72.9751,-6208.0181,stage2
test/gravel_watercanB_2.webp,smiyc,88.1392,-6896.2925,stage1
test/gravel_watercanB_4.webp,smiyc,28.1455,-3805.7471,stage2
test/gravel_watercanB_7.webp,smiyc,12.8864,-4643.3125,stage2
test/gravel_watercanS_2.webp,smiyc,99.0504,-8365.1953,stage1
test/greyasphalt_axestump_2.webp,smiyc,142.2283,-2867.2612,stage1
test/greyasphalt_axestump_3.webp,smiyc,105.059,-3034.4006,stage1
test/greyasphalt_axestump_4.webp,smiyc,96.6223,-3846.9626,stage1
test/greyasphalt_axestump_7.webp,smiyc,76.1854,-3836.7349,stage1
test/greyasphalt_bag_3.webp,smiyc,122.939,-3657.2949,stage1
test/greyasphalt_bag_4.webp,smiyc,230.8125,-2861.3516,stage1
test/greyasphalt_bagB_5.webp,smiyc,95.206,-3244.4954,stage1
test/greyasphalt_basket_1.webp,smiyc,83.8829,-2852.9639,stage1
test/greyasphalt_basket_3.webp,smiyc,108.0398,-3287.387,stage1
test/greyasphalt_basket_4.webp,smiyc,153.1003,-4517.6836,stage1
test/greyasphalt_basket_7.webp,smiyc,106.8974,-3863.3167,stage1
test/greyasphalt_boot_2.webp,smiyc,150.8434,-3529.3391,stage1
test/greyasphalt_boot_3.webp,smiyc,116.4182,-3386.1963,stage1
test/greyasphalt_boot_6.webp,smiyc,78.7005,-3056.678,stage1
test/greyasphalt_bottle_1.webp,smiyc,198.2674,-2985.0229,stage1
test/greyasphalt_bottle_2.webp,smiyc,147.7457,-4145.2974,stage1
test/greyasphalt_bottlesB_5.webp,smiyc,81.5751,-3242.2024,stage1
test/greyasphalt_boxG_2.webp,smiyc,134.6389,-3178.2468,stage1
test/greyasphalt_boxG_4.webp,smiyc,125.7241,-3245.8577,stage1
test/greyasphalt_boxG_7.webp,smiyc,90.6647,-2760.9148,stage1
test/greyasphalt_canister_2.webp,smiyc,80.2767,-3154.0471,stage1
test/greyasphalt_canister_3.webp,smiyc,108.5799,-2940.2126,stage1
test/greyasphalt_canister_6.webp,smiyc,78.1119,-3490.5288,stage1
test/greyasphalt_cansA_1.webp,smiyc,79.2661,-3651.2222,stage1
test/greyasphalt_cansB_2.webp,smiyc,75.5621,-2816.0947,stage1
test/greyasphalt_dog_1.webp,smiyc,25.0382,-10251.3682,stage2
test/greyasphalt_dog_2.webp,smiyc,29.8174,-8533.2793,stage2
test/greyasphalt_dog_3.webp,smiyc,32.3161,-9109.0059,stage2
test/greyasphalt_dog_4.webp,smiyc,44.8047,-7477.1978,stage2
test/greyasphalt_dog_5.webp,smiyc,71.8224,-6987.8301,stage2
test/greyasphalt_dog_6.webp,smiyc,41.3872,-8115.436,stage2
test/greyasphalt_gnome_1.webp,smiyc,8.48,-10592.332,stage2
test/greyasphalt_gnome_2.webp,smiyc,10.1588,-10245.2998,stage2
test/greyasphalt_gnome_3.webp,smiyc,19.0364,-8984.457,stage2
test/greyasphalt_gnome_4.webp,smiyc,12.7658,-8433.916,stage2
test/greyasphalt_gnome_5.webp,smiyc,44.5371,-6040.2456,stage2
test/greyasphalt_gnome_6.webp,smiyc,38.1058,-5458.165,stage2
test/greyasphalt_helmetB_1.webp,smiyc,186.4417,-5222.4946,stage1
test/greyasphalt_helmetB_2.webp,smiyc,84.8964,-3596.5061,stage1
test/greyasphalt_helmetB_6.webp,smiyc,62.8216,-3820.4392,stage2
test/greyasphalt_pig_1.webp,smiyc,30.7891,-12447.0781,stage2
test/greyasphalt_pig_2.webp,smiyc,21.7512,-10035.4014,stage2
test/greyasphalt_pig_3.webp,smiyc,35.804,-12686.2734,stage2
