image_path,dataset,chi2_score,semantic_score,decision
test/t5/1005.png,streethazards,30.5505,-1312.8307,pass
test/t5/1014.png,streethazards,38.2926,-1044.9691,pass
test/t5/213.png,streethazards,30.6541,-1256.9218,pass
test/t5/214.png,streethazards,18.3668,-1184.0966,pass
test/t5/215.png,streethazards,40.251,-1325.8483,pass
test/t5/216.png,streethazards,33.279,-1345.7618,pass
test/t5/217.png,streethazards,67.532,-1356.4309,pass
test/t5/218.png,streethazards,61.059,-1159.1626,pass
test/t5/219.png,streethazards,32.849,-1191.394,pass
test/t5/220.png,streethazards,20.3777,-1088.5013,pass
test/t5/221.png,streethazards,16.4037,-1227.5179,pass
test/t5/222.png,streethazards,26.7773,-1249.2058,pass
test/t5/223.png,streethazards,21.9528,-1040.176,pass
test/t5/224.png,streethazards,24.1286,-995.2858,pass
test/t5/226.png,streethazards,46.1924,-1278.4657,pass
test/t5/228.png,streethazards,35.6664,-1420.6062,pass
test/t5/232.png,streethazards,41.4295,-1330.1588,pass
test/t5/233.png,streethazards,29.8035,-1376.8652,pass
test/t5/234.png,streethazards,40.9051,-1429.4208,pass
test/t5/235.png,streethazards,22.4213,-1371.6693,pass
test/t5/236.png,streethazards,60.6836,-1255.9908,pass
test/t5/237.png,streethazards,33.9887,-1145.4181,pass
test/t5/238.png,streethazards,32.8083,-1024.132,pass
test/t5/239.png,streethazards,24.6191,-1350.7513,pass
test/t5/240.png,streethazards,9.8472,-1377.7395,pass
test/t5/241.png,streethazards,30.807,-1332.8904,pass
test/t5/242.png,streethazards,26.8752,-1299.8588,pass
test/t5/243.png,streethazards,6.3484,-1412.1147,pass
test/t5/244.png,streethazards,27.8223,-1200.6721,pass
test/t5/245.png,streethazards,55.0406,-1390.9952,pass
test/t5/246.png,streethazards,40.8199,-1002.5983,pass
test/t5/247.png,streethazards,27.9469,-1308.3859,pass
test/t5/248.png,streethazards,44.953,-855.8365,pass
test/t5/249.png,streethazards,34.5097,-872.7312,pass
test/t5/250.png,streethazards,26.0577,-1101.0481,pass
test/t5/251.png,streethazards,67.8046,-1254.8513,pass
test/t5/266.png,streethazards,39.5308,-1402.1343,pass
test/t5/279.png,streethazards,52.1627,-1332.3004,pass
test/t5/280.png,streethazards,59.7668,-1307.0569,pass
test/t5/285.png,streethazards,61.3136,-1406.4484,pass
test/t5/288.png,streethazards,60.1923,-1298.6774,pass
test/t5/290.png,streethazards,45.071,-1298.7173,pass
test/t5/331.png,streethazards,71.9117,-1425.0083,pass
test/t5/332.png,streethazards,44.862,-1361.8022,pass
test/t5/333.png,streethazards,46.1707,-1127.546,pass
test/t5/337.png,streethazards,41.174,-1401.2255,pass
test/t5/338.png,streethazards,10.4704,-1222.6644,pass
test/t5/348.png,streethazards,13.4978,-1337.2202,pass
test/t5/349.png,streethazards,25.6318,-1209.7091,pass
test/t5/353.png,streethazards,35.673,-1385.3899,pass
test/t5/354.png,streethazards,22.5263,-1298.5752,pass
test/t5/355.png,streethazards,21.7255,-1367.3909,pass
test/t5/356.png,streethazards,23.6358,-1240.7006,pass
test/t5/358.png,streethazards,28.2673,-1338.6013,pass
test/t5/359.png,streethazards,30.0035,-1405.4318,pass
test/t5/407.png,streethazards,6.1773,-1379.2067,pass
test/t5/505.png,streethazards,15.237,-1369.9788,pass
test/t5/506.png,streethazards,10.7327,-1178.1704,pass
test/t5/508.png,streethazards,16.5379,-1385.9646,pass
test/t5/515.png,streethazards,9.7609,-1384.0388,pass
test/t5/517.png,streethazards,18.2761,-1361.2794,pass
test/t5/518.png,streethazards,15.5188,-1415.0636,pass
test/t5/519.png,streethazards,12.3556,-1391.9349,pass
test/t5/551.png,streethazards,38.2239,-1229.1421,pass
test/t5/553.png,streethazards,29.0667,-1294.7144,pass
test/t5/554.png,streethazards,17.0888,-1338.1049,pass
test/t5/584.png,streethazards,10.4766,-1224.8363,pass
test/t5/586.png,streethazards,12.6759,-1332.4517,pass
test/t5/592.png,streethazards,21.1649,-1288.5199,pass
test/t5/593.png,streethazards,18.2573,-1397.1029,pass
test/t5/594.png,streethazards,48.8623,-1278.751,pass
test/t5/596.png,streethazards,16.2222,-1205.2065,pass
test/t5/606.png,streethazards,30.9364,-1158.4056,pass
test/t5/607.png,streethazards,57.7549,-1224.6189,pass
test/t5/612.png,streethazards,57.8667,-1315.5449,pass
test/t5/617.png,streethazards,61.2217,-1293.5632,pass
test/t5/645.png,streethazards,24.3525,-1417.9321,pass
test/t5/646.png,streethazards,24.007,-1279.8215,pass
test/t5/647.png,streethazards,44.1644,-1285.317,pass
test/t5/649.png,streethazards,22.1533,-1370.2657,pass
test/t5/653.png,streethazards,6.9055,-1090.9336,pass
test/t5/654.png,streethazards,8.2787,-970.2952,pass
test/t5/655.png,streethazards,11.6111,-1122.4923,pass
test/t5/656.png,streethazards,27.751,-1107.964,pass
test/t5/657.png,streethazards,5.6537,-1027.4091,pass
test/t5/658.png,streethazards,17.4942,-1210.5179,pass
test/t5/659.png,streethazards,2.5671,-1279.0176,pass
test/t5/660.png,streethazards,14.4281,-1245.7045,pass
test/t5/661.png,streethazards,7.8818,-1174.2786,pass
test/t5/663.png,streethazards,15.7585,-1362.3862,pass
test/t5/664.png,streethazards,12.5892,-1291.97,pass
test/t5/665.png,streethazards,19.497,-1225.5508,pass
